Time [s],Ch0
-0.010000000,1
0.000000000,0
0.008985480,1
0.013485840,0
0.014038100,1
0.014547400,0
0.015159040,1
0.016840160,0
0.017400900,1
0.019082000,0
0.019642660,1
0.020151980,0
0.020763540,1
0.021272800,0
0.021884360,1
0.022393660,0
0.023005260,1
0.023514680,0
0.024126300,1
0.025807480,0
0.026359720,1
0.028049560,0
0.028601720,1
0.029110960,0
0.029722600,1
0.031403760,0
0.031964460,1
0.032473760,0
0.033085340,1
0.033594600,0
0.034206260,1
0.034715560,0
0.035327220,1
0.035836540,0
0.036448180,1
0.036957460,0
0.037569140,1
0.038078420,0
0.038690060,1
0.039199320,0
0.039811020,1
0.040320420,0
0.040932160,1
0.041441520,0
0.042061580,1
0.042570920,0
0.043182600,1
0.043691920,0
0.044303660,1
0.044813040,0
0.045424700,1
0.045934060,0
0.046545740,1
0.048218560,0
0.048779280,1
0.050460480,0
0.051021160,1
0.052702380,0
0.053254560,1
0.054935680,0
0.055496400,1
0.057177440,0
0.057738040,1
0.059410900,0
0.059971600,1
0.061652700,0
0.062213400,1
0.063894540,0
0.064446760,1
0.108004820,0
0.116982340,1
0.119232780,0
0.119793440,1
0.216011440,0
0.224996220,1
0.227246660,0
0.227798860,1
0.324029760,0
0.333014200,1
0.335256080,0
0.335816820,1
0.432039440,0
0.441023860,1
0.443265340,0
0.443825920,1
0.500000020,1
