Time [s],Ch0
-0.010000000,1
0.000000000,0
0.008977240,1
0.013478320,0
0.014039080,1
0.014548520,0
0.015160260,1
0.016841720,0
0.017393960,1
0.019075440,0
0.019636180,1
0.020145500,0
0.020757160,1
0.021266420,0
0.021878140,1
0.022387480,0
0.022999160,1
0.023508480,0
0.024120200,1
0.025801560,0
0.026362300,1
0.028043520,0
0.028604180,1
0.029189940,0
0.029716620,1
0.031406640,0
0.031958860,1
0.032468280,0
0.033080020,1
0.033589380,0
0.034201060,1
0.034710380,0
0.035322080,1
0.035831440,0
0.036443140,1
0.036952540,0
0.037572780,1
0.038082100,0
0.038693780,1
0.039203120,0
0.039814900,1
0.040324280,0
0.040936080,1
0.041445500,0
0.042057260,1
0.042566580,0
0.043178340,1
0.043687740,0
0.044299500,1
0.044808900,0
0.045420640,1
0.045930000,0
0.046541700,1
0.048214720,0
0.048775460,1
0.050456900,0
0.051017620,1
0.052698820,0
0.053251060,1
0.054932280,0
0.055493040,1
0.057174480,0
0.057726780,1
0.059408240,0
0.059969020,1
0.061650620,0
0.062202840,1
0.063884220,0
0.064444860,1
0.107988540,0
0.116974380,1
0.119216520,0
0.119777300,1
0.500000020,1
