Time [s],Ch0
-0.010000000,1
0.000000000,0
0.008980220,1
0.013478680,0
0.014039220,1
0.014548340,0
0.015159780,1
0.016840180,0
0.017400640,1
0.019081000,0
0.019641420,1
0.020150480,0
0.020761860,1
0.021270860,0
0.021882160,1
0.022391160,0
0.023002580,1
0.023511680,0
0.024123080,1
0.025803700,0
0.026364200,1
0.028044620,0
0.028605080,1
0.029114180,0
0.029725520,1
0.031405840,0
0.031966260,1
0.032475280,0
0.033086640,1
0.033595700,0
0.034207120,1
0.034716140,0
0.035327480,1
0.035836520,0
0.036447880,1
0.036956960,0
0.037568380,1
0.038077440,0
0.038688860,1
0.039197980,0
0.039817840,1
0.040326900,0
0.040938240,1
0.041447280,0
0.042058700,1
0.042567720,0
0.043179120,1
0.043688200,0
0.044299440,1
0.044808460,0
0.045419800,1
0.045928880,0
0.046540320,1
0.048220840,0
0.048781260,1
0.050461540,0
0.051022040,1
0.052702420,0
0.053262880,1
0.054934800,0
0.055495260,1
0.057175680,0
0.057736160,1
0.059416600,0
0.059977100,1
0.061657620,0
0.062218100,1
0.063898560,0
0.064450540,1
0.177928240,0
0.186908420,1
0.191414800,0
0.191966780,1
0.192475820,0
0.193087160,1
0.194767420,0
0.195327860,1
0.197008040,0
0.197568440,1
0.198077480,0
0.198688800,1
0.199197800,0
0.199809140,1
0.200318120,0
0.200929500,1
0.201438460,0
0.202049880,1
0.203738480,0
0.204290440,1
0.205979120,0
0.206531000,1
0.207039960,0
0.207651340,1
0.209331540,0
0.209891940,1
0.210401040,0
0.211012320,1
0.211521300,0
0.212132540,1
0.212641500,0
0.213261260,1
0.213770240,0
0.214381540,1
0.214890540,0
0.215501860,1
0.216010920,0
0.216622220,1
0.217131180,0
0.217742540,1
0.218251500,0
0.218862700,1
0.219371720,0
0.219991520,1
0.220500540,0
0.221111860,1
0.221620920,0
0.222232220,1
0.222741240,0
0.223352580,1
0.223861640,0
0.224472980,1
0.226153340,0
0.226713720,1
0.228393940,0
0.228954340,1
0.230634640,0
0.231186600,1
0.232866820,0
0.233427240,1
0.235107500,0
0.235667880,1
0.237348160,0
0.237908520,1
0.239588680,0
0.240140540,1
0.241820740,0
0.242381080,1
1.607863200,1
