Time [s],Ch0
-0.010000000,1
-0.000000000,0
0.008987220,1
0.013484660,0
0.014044940,1
0.014630360,0
0.015165120,1
0.016845160,0
0.017405400,1
0.019085460,0
0.019645820,1
0.020231040,0
0.020765800,1
0.021274700,0
0.021885920,1
0.022394920,0
0.023006220,1
0.023515140,0
0.024126380,1
0.025806320,0
0.026366620,1
0.028046720,0
0.028607140,1
0.029116180,0
0.029727420,1
0.031407640,0
0.031968040,1
0.032477000,0
0.033088260,1
0.033597200,0
0.034208420,1
0.034717400,0
0.035328600,1
0.035837520,0
0.036448820,1
0.036957820,0
0.037577560,1
0.038086500,0
0.038697660,1
0.039206520,0
0.039817740,1
0.040326620,0
0.040937800,1
0.041446700,0
0.042057880,1
0.042566840,0
0.043186580,1
0.043771980,0
0.044306900,1
0.044815920,0
0.045427260,1
0.045936300,0
0.046547620,1
0.048227780,0
0.048788140,1
0.050468280,0
0.051028620,1
0.052700320,0
0.053260680,1
0.054940720,0
0.055501140,1
0.057181360,0
0.057741680,1
0.059421840,0
0.059982200,1
0.061662360,0
0.062222700,1
0.063894480,0
0.064454840,1
0.108007280,0
0.116995240,1
0.119235460,0
0.119795780,1
0.216007880,0
0.224995740,1
0.227244400,0
0.227796220,1
0.604047720,0
0.613034120,1
0.617531340,0
0.618091680,1
0.618600600,0
0.619211820,1
0.620891860,0
0.621452100,1
0.623132000,0
0.623692320,1
0.624201280,0
0.624812520,1
0.625321540,0
0.625932760,1
0.626441660,0
0.627052920,1
0.627561820,0
0.628173040,1
0.629852980,0
0.630413320,1
0.632093320,0
0.632653620,1
0.633162600,0
0.633773820,1
0.635453840,0
0.636014180,1
0.636523140,0
0.637134300,1
0.637643180,0
0.638254360,1
0.638763240,0
0.639374480,1
0.639883460,0
0.640494640,1
0.641003540,0
0.641623180,1
0.642132060,0
0.642743220,1
0.643252100,0
0.643863260,1
0.644372180,0
0.644983320,1
0.645492180,0
0.646103380,1
0.646612260,0
0.647223480,1
0.647732500,0
0.648352240,1
0.648861140,0
0.649472320,1
0.649981220,0
0.650592420,1
0.652272360,0
0.652832620,1
0.654512320,0
0.655064080,1
0.656743860,0
0.657304140,1
0.658983900,0
0.659544120,1
0.661223980,0
0.661784200,1
0.663464140,0
0.664024380,1
0.665704180,0
0.666264440,1
0.667944280,0
0.668504560,1
0.712053180,0
0.721039020,1
0.723287400,0
0.723847700,1
0.820074400,0
0.829061240,1
0.831309680,0
0.831861560,1
1.857140720,1
