Time [s],Ch0
0.000000000,0
0.008984340,1
0.013484680,0
0.014045380,1
0.014554620,0
0.015166120,1
0.016847080,0
0.017407720,1
0.019088840,0
0.019649500,1
0.020235240,0
0.020770380,1
0.021279620,0
0.021891180,1
0.022400420,0
0.023011940,1
0.023521180,0
0.024132700,1
0.025813540,0
0.026365700,1
0.028055180,0
0.028607320,1
0.029116540,0
0.029728040,1
0.031408900,0
0.031969500,1
0.032478760,0
0.033090220,1
0.033599440,0
0.034211060,1
0.034720340,0
0.035331880,1
0.035841140,0
0.036452700,1
0.036961980,0
0.037573500,1
0.039254400,0
0.039814960,1
0.041495720,0
0.042056300,1
0.043737160,0
0.044297720,1
0.045978840,0
0.046530940,1
0.047040160,0
0.047651660,1
0.048160840,0
0.048780800,1
0.049290000,0
0.049901560,1
0.050410800,0
0.051022400,1
0.051531580,0
0.052143140,1
0.052652440,0
0.053263980,1
0.053773240,0
0.054384780,1
0.054894020,0
0.055505560,1
0.057186640,0
0.057747240,1
0.059428240,0
0.059980360,1
0.061661200,0
0.062221720,1
0.063902600,0
0.064463220,1
0.108012920,0
0.116996600,1
0.119246600,0
0.119798760,1
0.500000020,1
