Time [s],Ch0
-0.010000000,1
0.000000000,0
0.004524900,1
0.009031620,0
0.009600500,1
0.011280800,0
0.011841140,1
0.013521500,0
0.014090300,1
0.015770520,0
0.016330860,1
0.016839960,0
0.017459780,1
0.018045200,0
0.018580160,1
0.019089200,0
0.019700540,1
0.020209640,0
0.020821020,1
0.021330040,0
0.021949780,1
0.023630120,0
0.024190420,1
0.025879180,0
0.026439600,1
0.028119940,0
0.028680340,1
0.029189400,0
0.029809300,1
0.030394760,0
0.030929760,1
0.031438780,0
0.032050180,1
0.032559300,0
0.033170720,1
0.033679920,0
0.034299800,1
0.034808940,0
0.035420320,1
0.035929340,0
0.036540760,1
0.038229680,0
0.038790180,1
0.039299220,0
0.039910600,1
0.040419740,0
0.041031140,1
0.041540200,0
0.042160040,1
0.042745520,0
0.043280480,1
0.043789580,0
0.044400900,1
0.046089900,0
0.046650380,1
0.048330900,0
0.048891340,1
0.049400320,0
0.050020160,1
0.051700600,0
0.052260980,1
0.053941340,0
0.054510260,1
0.056190760,0
0.056751240,1
0.058440280,0
0.059000720,1
0.060681260,0
0.061241740,1
0.108174980,0
0.112699600,1
0.117206880,0
0.117775740,1
0.119456200,0
0.120016620,1
0.121696980,0
0.122265840,1
0.123946140,0
0.124506520,1
0.125015680,0
0.125627000,1
0.126136000,0
0.126755820,1
0.127341260,0
0.127876140,1
0.128385220,0
0.128996540,1
0.129505540,0
0.130116880,1
0.131805760,0
0.132366180,1
0.134046580,0
0.134615460,1
0.136295900,0
0.136856240,1
0.137365360,0
0.137976620,1
0.138485700,0
0.139105580,1
0.139690980,0
0.140225960,1
0.140735040,0
0.141346440,1
0.141855600,0
0.142466940,1
0.142976040,0
0.143595820,1
0.144181340,0
0.144716340,1
0.146396800,0
0.146957280,1
0.147466340,0
0.148086260,1
0.148671740,0
0.149206740,1
0.149715800,0
0.150327080,1
0.150836160,0
0.151456000,1
0.152041560,0
0.152576500,1
0.154256940,0
0.154817380,1
0.156506260,0
0.157066660,1
0.157575700,0
0.158187040,1
0.159875820,0
0.160436260,1
0.162116680,0
0.162677060,1
0.164366000,0
0.164926380,1
0.166606660,0
0.167167100,1
0.168856020,0
0.169416420,1
0.216337440,0
0.220861660,1
0.225377280,0
0.225937620,1
0.227618040,0
0.228186940,1
0.229867160,0
0.230427580,1
0.232107920,0
0.232676780,1
0.233262180,0
0.233797140,1
0.234306240,0
0.234917660,1
0.235426800,0
0.236038160,1
0.236547220,0
0.237167040,1
0.237676100,0
0.238287400,1
0.239968000,0
0.240536880,1
0.242217400,0
0.242777900,1
0.244458220,0
0.245027200,1
0.245612640,0
0.246147600,1
0.246656760,0
0.247268100,1
0.247777180,0
0.248388460,1
0.248897580,0
0.249517480,1
0.250103000,0
0.250638000,1
0.251147120,0
0.251758500,1
0.252267600,0
0.252878920,1
0.254567780,0
0.255128220,1
0.255637280,0
0.256248560,1
0.256757640,0
0.257377440,1
0.257963000,0
0.258497940,1
0.259006980,0
0.259618280,1
0.260127320,0
0.260738680,1
0.262427760,0
0.262988180,1
0.264668640,0
0.265229100,1
0.265738240,0
0.266358000,1
0.268038400,0
0.268598760,1
0.270287740,0
0.270848160,1
0.272528560,0
0.273088960,1
0.274777840,0
0.275338180,1
0.277018620,0
0.277587560,1
1.537100180,1
