Time [s],Ch0
-0.010000000,1
-0.000000000,0
0.004524880,1
0.009040880,0
0.009601400,1
0.011282080,0
0.011842580,1
0.013531660,0
0.014092260,1
0.015773080,0
0.016333540,1
0.016842640,0
0.017454020,1
0.017963120,0
0.018583000,1
0.019092140,0
0.019703600,1
0.020212760,0
0.020824240,1
0.021333400,0
0.021953280,1
0.023633880,0
0.024194460,1
0.025875240,0
0.026444260,1
0.028124760,0
0.028685240,1
0.029194400,0
0.029805820,1
0.030314960,0
0.030934920,1
0.031520400,0
0.032055460,1
0.032564580,0
0.033175980,1
0.033685060,0
0.034296560,1
0.034805720,0
0.035425700,1
0.035934840,0
0.036546280,1
0.038226940,0
0.038795960,1
0.039381560,0
0.039916640,1
0.040425800,0
0.041037260,1
0.041546340,0
0.042157760,1
0.042666900,0
0.043286800,1
0.043872360,0
0.044407380,1
0.046087980,0
0.046648500,1
0.048337700,0
0.048898160,1
0.049407300,0
0.050018740,1
0.051707880,0
0.052268380,1
0.053948860,0
0.054509360,1
0.056198280,0
0.056758760,1
0.058439240,0
0.058999720,1
0.060688560,0
0.061249000,1
0.161174980,0
0.165707880,1
0.170215480,0
0.170775980,1
0.172464920,0
0.173025380,1
0.174705820,0
0.175266300,1
0.176955180,0
0.177515700,1
0.178024800,0
0.178636200,1
0.179145300,0
0.179756620,1
0.180265740,0
0.180885620,1
0.181394740,0
0.182006120,1
0.182515140,0
0.183126400,1
0.184815300,0
0.185375640,1
0.187056040,0
0.187616500,1
0.189305420,0
0.189865900,1
0.190375080,0
0.190986460,1
0.191495640,0
0.192107080,1
0.192616220,0
0.193236160,1
0.193821800,0
0.194356840,1
0.194865980,0
0.195477420,1
0.195986520,0
0.196606360,1
0.197191940,0
0.197727000,1
0.199407600,0
0.199968080,1
0.200477240,0
0.201097100,1
0.201682620,0
0.202217600,1
0.202726740,0
0.203338140,1
0.203847220,0
0.204467020,1
0.205052540,0
0.205587520,1
0.207267980,0
0.207828400,1
0.209517440,0
0.210077900,1
0.210586960,0
0.211198340,1
0.212887400,0
0.213447860,1
0.215128240,0
0.215688680,1
0.217377740,0
0.217938200,1
0.219618780,0
0.220179240,1
0.221868220,0
0.222428620,1
3.000000020,1
