Time [s],Ch0
-0.010000000,1
0.000000000,0
0.002385160,1
0.002979080,0
0.003581900,1
0.004175800,0
0.004778520,1
0.005372400,0
0.005983740,1
0.006569060,0
0.007180320,1
0.007774080,0
0.008376880,1
0.008970780,0
0.009582020,1
0.010167340,0
0.010778620,1
0.011372500,0
0.011975260,1
0.012569060,0
0.013774500,1
0.014368360,0
0.014971180,1
0.015564980,0
0.016770340,1
0.017364180,0
0.018569400,1
0.019163220,0
0.019774520,1
0.020359900,0
0.021565160,1
0.022158980,0
0.022770260,1
0.023355520,0
0.023966820,1
0.024560640,0
0.025163480,1
0.025757280,0
0.026962560,1
0.027556420,0
0.028761800,1
0.029355640,0
0.030561040,1
0.045396100,0
0.047772480,1
0.048366340,0
0.048977620,1
0.049563000,0
0.050174280,1
0.050768120,0
0.051370920,1
0.051964760,0
0.052567620,1
0.053161460,0
0.053772800,1
0.054358140,0
0.054969420,1
0.055563380,0
0.056166200,1
0.056760040,0
0.057371320,1
0.057956640,0
0.059170420,1
0.059755820,0
0.060367100,1
0.060960880,0
0.062166200,1
0.062760040,0
0.063965320,1
0.064550720,0
0.065161980,1
0.065755880,0
0.066961280,1
0.067555180,0
0.068157980,1
0.068751880,0
0.069363200,1
0.069948520,0
0.070559940,1
0.071153780,0
0.072359160,1
0.072944500,0
0.074158300,1
0.074743740,0
0.075957500,1
0.090749820,0
0.093134740,1
0.093720000,0
0.094331240,1
0.094925120,0
0.095527920,1
0.096121740,0
0.096724540,1
0.097318400,0
0.097929700,1
0.098514980,0
0.099126300,1
0.099720200,0
0.100323000,1
0.100916780,0
0.101528080,1
0.102113500,0
0.102724780,1
0.103318640,0
0.104523880,1
0.105117740,0
0.105720560,1
0.106314400,0
0.107519760,1
0.108113600,0
0.109319000,1
0.109912840,0
0.110515620,1
0.111109360,0
0.112314600,1
0.112908360,0
0.113519660,1
0.114105060,0
0.114716380,1
0.115310260,0
0.115913020,1
0.116506840,0
0.117712260,1
0.118306000,0
0.119511260,1
0.120105040,0
0.121310220,1
1.968265040,1
