Time [s],Ch0
-0.010000000,1
-0.000000000,0
0.002376380,1
0.002970140,0
0.003572920,1
0.004166680,0
0.004777880,1
0.005363160,0
0.005974400,1
0.006568180,0
0.007170900,1
0.007764780,0
0.008375980,1
0.008961340,0
0.009572580,1
0.010166400,0
0.010769220,1
0.011363060,0
0.011974380,1
0.012559780,0
0.013765320,1
0.014359100,0
0.014970300,1
0.015555700,0
0.016769560,1
0.017354880,0
0.018568760,1
0.019154280,0
0.019765620,1
0.020359500,0
0.021564880,1
0.022158720,0
0.022761520,1
0.023355320,0
0.023958100,1
0.024551940,0
0.025163220,1
0.025748560,0
0.026962340,1
0.027547740,0
0.028761440,1
0.029346680,0
0.030560540,1
0.045387120,0
0.047772300,1
0.048357580,0
0.048968820,1
0.049562660,0
0.050165400,1
0.050759180,0
0.051370400,1
0.051955720,0
0.052566900,1
0.053160840,0
0.053763600,1
0.054357380,0
0.054960240,1
0.055554020,0
0.056165240,1
0.056759100,0
0.057361880,1
0.057955640,0
0.059161040,1
0.059754900,0
0.060357680,1
0.060951520,0
0.062156860,1
0.062750660,0
0.063955900,1
0.064549880,0
0.065152580,1
0.065746440,0
0.066951840,1
0.067545680,0
0.068156960,1
0.068742380,0
0.069353680,1
0.069947460,0
0.070550180,1
0.071144080,0
0.072349480,1
0.072943340,0
0.074148800,1
0.074742720,0
0.075947980,1
0.090748820,0
0.093125440,1
0.093719180,0
0.094321900,1
0.094915740,0
0.095526980,1
0.096112280,0
0.096723500,1
0.097317340,0
0.097920080,1
0.098513980,0
0.099125200,1
0.099710580,0
0.100321900,1
0.100915840,0
0.101518620,1
0.102112400,0
0.102715200,1
0.103308980,0
0.104514260,1
0.105108160,0
0.105719420,1
0.106304820,0
0.107518680,1
0.108104060,0
0.109317820,1
0.109903200,0
0.110514580,1
0.111108460,0
0.112313660,1
0.112907420,0
0.113510240,1
0.114104120,0
0.114706920,1
0.115300780,0
0.115912080,1
0.116497360,0
0.117711120,1
0.118296480,0
0.119510160,1
0.120095580,0
0.121300920,1
0.136100980,0
0.138485680,1
0.139071020,0
0.139682160,1
0.140275960,0
0.140878720,1
0.141472580,0
0.142075280,1
0.142669140,0
0.143280420,1
0.143874240,0
0.144477040,1
0.145070900,0
0.145673700,1
0.146267500,0
0.146878800,1
0.147464200,0
0.148075500,1
0.148669340,0
0.149874520,1
0.150468240,0
0.151071020,1
0.151664760,0
0.152869780,1
0.153463460,0
0.154668760,1
0.155262600,0
0.155865320,1
0.156459060,0
0.157664220,1
0.158258040,0
0.158869240,1
0.159454440,0
0.160065680,1
0.160659480,0
0.161262260,1
0.161856080,0
0.163061400,1
0.163655180,0
0.164860320,1
0.165454180,0
0.166659440,1
0.181459820,0
0.183836160,1
0.184429960,0
0.185041140,1
0.185626500,0
0.186237820,1
0.186831660,0
0.187434420,1
0.188028260,0
0.188631060,1
0.189224880,0
0.189836140,1
0.190421540,0
0.191032820,1
0.191626580,0
0.192229340,1
0.192823180,0
0.193434500,1
0.194019820,0
0.195233660,1
0.195818940,0
0.196430180,1
0.197024000,0
0.198229360,1
0.198823240,0
0.200028560,1
0.200622300,0
0.201225140,1
0.201818920,0
0.203024320,1
0.203618160,0
0.204220880,1
0.204814720,0
0.205426000,1
0.206011300,0
0.206622600,1
0.207216480,0
0.208421800,1
0.209015760,0
0.210221040,1
0.210814900,0
0.212020160,1
0.226811620,0
0.229196400,1
0.229790160,0
0.230392800,1
0.230986560,0
0.231589320,1
0.232183100,0
0.232794420,1
0.233379760,0
0.233990940,1
0.234584660,0
0.235187320,1
0.235780960,0
0.236392120,1
0.236977420,0
0.237588660,1
0.238182480,0
0.238785260,1
0.239379140,0
0.240584460,1
0.241178260,0
0.241781000,1
0.242374760,0
0.243580020,1
0.244173860,0
0.245379380,1
0.245973260,0
0.246584520,1
0.247169900,0
0.248383700,1
0.248969040,0
0.249580360,1
0.250174180,0
0.250776940,1
0.251370700,0
0.251973480,1
0.252567320,0
0.253772640,1
0.254366480,0
0.255571740,1
0.256165580,0
0.257370820,1
0.272171320,0
0.274548020,1
0.275141880,0
0.275753120,1
0.276338420,0
0.276949720,1
0.277543660,0
0.278146460,1
0.278740320,0
0.279343160,1
0.279937000,0
0.280548300,1
0.281142000,0
0.281744760,1
0.282338600,0
0.282941280,1
0.283535020,0
0.284146260,1
0.284731580,0
0.285945220,1
0.286538960,0
0.287141600,1
0.287735340,0
0.288940540,1
0.289534280,0
0.290739480,1
0.291333240,0
0.291935960,1
0.292529720,0
0.293735020,1
0.294328840,0
0.294931600,1
0.295525420,0
0.296136680,1
0.296730420,0
0.297333160,1
0.297927000,0
0.299132320,1
0.299726180,0
0.300931580,1
0.301525340,0
0.302730580,1
0.317522980,0
0.319907920,1
0.320501700,0
0.321104480,1
0.321698480,0
0.322301320,1
0.322895240,0
0.323506620,1
0.324100480,0
0.324703240,1
0.325297020,0
0.325899760,1
0.326493600,0
0.327104760,1
0.327690100,0
0.328301260,1
0.328895080,0
0.329497800,1
0.330091580,0
0.331296920,1
0.331890760,0
0.332502000,1
0.333087300,0
0.334292500,1
0.334886320,0
0.336091540,1
0.336685340,0
0.337296540,1
0.337881900,0
0.339095780,1
0.339681160,0
0.340292480,1
0.340886320,0
0.341489140,1
0.342082880,0
0.342694100,1
0.343279480,0
0.344484740,1
0.345078560,0
0.346283720,1
0.346877500,0
0.348082760,1
0.362882740,0
0.365258960,1
0.365852760,0
0.366464060,1
0.367057760,0
0.367660520,1
0.368254360,0
0.368857120,1
0.369450880,0
0.370062180,1
0.370655960,0
0.371258640,1
0.371852460,0
0.372455200,1
0.373049000,0
0.373660240,1
0.374245460,0
0.374856660,1
0.375450520,0
0.376655860,1
0.377249720,0
0.377852500,1
0.378446400,0
0.379651740,1
0.380245620,0
0.381450940,1
0.382044760,0
0.382647480,1
0.383241280,0
0.384446580,1
0.385040400,0
0.385651620,1
0.386236940,0
0.386848140,1
0.387441900,0
0.388044640,1
0.388638540,0
0.389843920,1
0.390437760,0
0.391643120,1
0.392237040,0
0.393442320,1
0.408242140,0
0.410618480,1
0.411212300,0
0.411814980,1
0.412408820,0
0.413020020,1
0.413613700,0
0.414216420,1
0.414810140,0
0.415412820,1
0.416006480,0
0.416617620,1
0.417202980,0
0.417814180,1
0.418407980,0
0.419010740,1
0.419604700,0
0.420215980,1
0.420801240,0
0.422015040,1
0.422600420,0
0.423211700,1
0.423805540,0
0.425010780,1
0.425604540,0
0.426809840,1
0.427403680,0
0.428006460,1
0.428600280,0
0.429805640,1
0.430399400,0
0.431002120,1
0.431595940,0
0.432207080,1
0.432792480,0
0.433403720,1
0.433997520,0
0.435202760,1
0.435796540,0
0.437001780,1
0.437595660,0
0.438800800,1
0.453592280,0
0.455977440,1
0.456571220,0
0.457174000,1
0.457767880,0
0.458370660,1
0.458964540,0
0.459575820,1
0.460161180,0
0.460772480,1
0.461366320,0
0.461969160,1
0.462562940,0
0.463174220,1
0.463759560,0
0.464370820,1
0.464964700,0
0.465567520,1
0.466161460,0
0.467366780,1
0.467960760,0
0.468563640,1
0.469157540,0
0.470363100,1
0.470956960,0
0.472162420,1
0.472756300,0
0.473359160,1
0.473953040,0
0.475158520,1
0.475752440,0
0.476363760,1
0.476949140,0
0.477560380,1
0.478154240,0
0.478757100,1
0.479351040,0
0.480556620,1
0.481150560,0
0.482356040,1
0.482949980,0
0.484155500,1
0.498948200,0
0.501333300,1
0.501927120,0
0.502530020,1
0.503123940,0
0.503726780,1
0.504320680,0
0.504932020,1
0.505525860,0
0.506128660,1
0.506722520,0
0.507325340,1
0.507919220,0
0.508530520,1
0.509115920,0
0.509727260,1
0.510321200,0
0.510924040,1
0.511517880,0
0.512723340,1
0.513317220,0
0.513919960,1
0.514513860,0
0.515719240,1
0.516313120,0
0.517518540,1
0.518112400,0
0.518715220,1
0.519309100,0
0.520514460,1
0.521108360,0
0.521719680,1
0.522313540,0
0.522916380,1
0.523510260,0
0.524113020,1
0.524706780,0
0.525912140,1
0.526506020,0
0.527711380,1
0.528305260,0
0.529510540,1
0.544303520,0
0.546688500,1
0.547282360,0
0.547885080,1
0.548478860,0
0.549090040,1
0.549675420,0
0.550286800,1
0.550880640,0
0.551483360,1
0.552077160,0
0.552680000,1
0.553273900,0
0.553885180,1
0.554479080,0
0.555081880,1
0.555675720,0
0.556278460,1
0.556872240,0
0.558077540,1
0.558671480,0
0.559282740,1
0.559868000,0
0.561081800,1
0.561667220,0
0.562872580,1
0.563466360,0
0.564077700,1
0.564671540,0
0.565876920,1
0.566470680,0
0.567073460,1
0.567667320,0
0.568270140,1
0.568863880,0
0.569475200,1
0.570060540,0
0.571274260,1
0.571859580,0
0.573064800,1
0.573658640,0
0.574863940,1
0.589662880,0
0.592047800,1
0.592641640,0
0.593244380,1
0.593838240,0
0.594441060,1
0.595034940,0
0.595637800,1
0.596231560,0
0.596842820,1
0.597436660,0
0.598039400,1
0.598633200,0
0.599236000,1
0.599829640,0
0.600440840,1
0.601034640,0
0.601637440,1
0.602231200,0
0.603436640,1
0.604030360,0
0.604633100,1
0.605226940,0
0.606432260,1
0.607026060,0
0.608231480,1
0.608825360,0
0.609428160,1
0.610021920,0
0.611227120,1
