Time [s],Ch0
-0.010000000,1
-0.000000000,0
0.002376600,1
0.002970460,0
0.004175760,1
0.004769640,0
0.005380860,1
0.005966240,0
0.007171580,1
0.007765420,0
0.008376760,1
0.008962020,0
0.010175740,1
0.010761060,0
0.011372360,1
0.011966140,0
0.012568920,1
0.013162740,0
0.013774040,1
0.014359380,0
0.015564660,1
0.016158580,0
0.016769800,1
0.017355160,0
0.018569000,1
0.019154260,0
0.020368040,1
0.020953440,0
0.021564680,1
0.022158500,0
0.023363760,1
0.023957600,0
0.024560360,1
0.025154180,0
0.025765440,1
0.026350800,0
0.026962000,1
0.027555780,0
0.028761100,1
0.029354920,0
0.030560280,1
0.031145620,0
0.032359460,1
0.045394980,0
0.047771640,1
0.048365660,0
0.049570940,1
0.050164840,0
0.050767580,1
0.051361400,0
0.052566700,1
0.053160520,0
0.053771760,1
0.054357060,0
0.055570640,1
0.056155860,0
0.056767080,1
0.057360800,0
0.057963500,1
0.058557280,0
0.059168500,1
0.059753860,0
0.060959260,1
0.061553160,0
0.062164400,1
0.062749760,0
0.063963460,1
0.064548760,0
0.065762640,1
0.066348060,0
0.066959260,1
0.067553060,0
0.068758320,1
0.069352120,0
0.069954880,1
0.070548700,0
0.071159960,1
0.071745260,0
0.072356480,1
0.072950220,0
0.074155560,1
0.074749400,0
0.075954800,1
0.076540160,0
0.077754080,1
0.090747780,0
0.093124400,1
0.093718260,0
0.094923700,1
0.095517600,0
0.096120420,1
0.096714160,0
0.097919520,1
0.098513340,0
0.099124680,1
0.099710100,0
0.100924080,1
0.101509500,0
0.102120780,1
0.102714620,0
0.103317460,1
0.103911360,0
0.104514180,1
0.105108140,0
0.106313460,1
0.106907340,0
0.107518560,1
0.108103900,0
0.109317820,1
0.109903200,0
0.111108480,1
0.111702300,0
0.112313560,1
0.112898860,0
0.114112700,1
0.114698040,0
0.115309240,1
0.115903020,0
0.116505780,1
0.117099600,0
0.117710820,1
0.118296140,0
0.119509860,1
0.120095160,0
0.121300500,1
0.121894280,0
0.123099620,1
3.166308840,1
